timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-08 23:59:01,20.00,3.48,1.7410,0.0543,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-08 23:59:31,20.00,3.48,1.7418,0.0545,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:00:01,20.06,3.48,1.7521,0.0565,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:00:31,20.06,3.48,1.7415,0.0544,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:01:01,20.00,3.48,1.7505,0.0562,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:01:31,20.00,3.48,1.7672,0.0596,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:02:01,20.00,3.48,1.7578,0.0577,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:02:31,20.06,3.48,1.7581,0.0577,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:03:01,20.06,3.48,1.7456,0.0552,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:03:31,20.06,3.48,1.7543,0.0570,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:04:01,20.00,3.48,1.7590,0.0579,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:04:31,20.06,3.48,1.7693,0.0600,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:05:01,20.06,3.48,1.7460,0.0553,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:05:31,20.12,3.48,1.7628,0.0587,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:06:01,20.06,3.48,1.7435,0.0548,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:06:31,20.06,3.48,1.7862,0.0634,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:07:01,20.06,3.48,1.7805,0.0622,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:07:31,20.06,3.48,1.7618,0.0585,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:08:01,20.06,3.48,1.7803,0.0622,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:08:31,20.06,3.48,1.7763,0.0614,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:09:01,20.06,3.48,1.7783,0.0618,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:09:31,20.06,3.48,1.7697,0.0601,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:10:01,20.06,3.48,1.7803,0.0622,5.00,0.50
